"","subject_id","total_cell_count"
"1","X2013.12.02",3
"2","X2013.12.03",5
"3","X2013.11.05",1
"4","X2013.11.21",1
"5","X2015.06.16",3
"6","X2015.06.18",1
"7","X2015.06.22",6
"8","X2015.07.23",1
"9","X2015.08.20",1
"10","X2015.10.08",8
"11","X2013.12.11",9
"12","X2014.01.27",2
"13","X2016.01.28",3
"14","X2016.02.04",8
"15","X2016.02.29",2
"16","X2016.03.01",2
"17","X2014.05.20",2
"18","X2014.06.24",5
"19","X2014.06.26",2
"20","X2014.09.11",2
"21","X2014.09.18",4
"22","X2014.11.03",2
"23","X2015.03.02",1
"24","X2015.03.30",2
"25","X2015.04.20",2
"26","X2015.11.09",7
"27","X2016.02.25",6
"28","X2016.03.03",4
"29","X2014.03.04",2
"30","X2014.03.17",3
"31","X2014.03.18",1
"32","X2014.12.02",4
"33","X2014.12.18",4
"34","X2015.01.05",4
"35","X2019.01.22",4
"36","X2019.01.28",8
"37","X2019.01.29",10
"38","X2019.03.20",6
"39","X2019.11.04",1
"40","X2019.11.26",3
"41","X2019.11.28",3
"42","X2020.01.06",6
"43","X2020.03.02",1
"44","X2020.01.27",4
"45","X2020.01.28",3
